Year,Season,ProvinceName,DistrictName,CropName,Avg_Area_ha,Total_Production_Kg,Avg_Yield_Kg_per_Ha,Num_Observations
2020,SeasonB,Southern Province,Huye,Cassava,0.02600504271686077,3263.3,4186.218926143852,30
2020,SeasonB,Southern Province,Huye,Irish potatoes,1.6192797422409058,42161.29,13018.582126493995,2
2020,SeasonB,Southern Province,Kamonyi,Beans,0.10253533720970154,18532.239999999998,3919.445527721605,42
2020,SeasonB,Southern Province,Kamonyi,Cassava,0.035618871450424194,8811.960000000001,5654.823461621993,48
2020,SeasonB,Southern Province,Kamonyi,Irish potatoes,0.19563767313957214,5786.6,4603.256218248645,7
2020,SeasonB,Southern Province,Muhanga,Beans,0.027888229116797447,4268.32,9778.333288309219,19
2020,SeasonB,Southern Province,Muhanga,Cassava,0.03433375433087349,13951.2,6953.5687140136315,60
2020,SeasonB,Southern Province,Muhanga,Irish potatoes,0.12682963907718658,16248.94,8514.67515468062,13
2020,SeasonB,Southern Province,Nyamagabe,Beans,0.028656773269176483,4807.0,9357.639399193444,18
2020,SeasonB,Southern Province,Nyamagabe,Cassava,0.01604735292494297,4025.38,8521.539571350157,30
2020,SeasonB,Southern Province,Nyamagabe,Irish potatoes,0.022067051380872726,753.5,9472.947813276593,4
2020,SeasonB,Southern Province,Nyanza,Beans,0.36089250445365906,28703.45,10851.69776035753,15
2020,SeasonB,Southern Province,Nyanza,Cassava,0.014471501111984253,2927.12,4201.8540721400095,50
2020,SeasonB,Southern Province,Nyanza,Irish potatoes,0.08616755157709122,8177.429999999999,11200.124939351086,8
2020,SeasonB,Southern Province,Nyaruguru,Beans,0.047147490084171295,4726.14,9564.116537075352,11
2020,SeasonB,Southern Province,Nyaruguru,Cassava,0.02078590728342533,952.8,7484.3805265622805,6
2020,SeasonB,Southern Province,Nyaruguru,Irish potatoes,0.17449863255023956,35548.3,20422.9686110231,12
2020,SeasonB,Southern Province,Ruhango,Beans,0.05768807604908943,2634.59,5650.122737664974,15
2020,SeasonB,Southern Province,Ruhango,Cassava,0.02009153552353382,5378.8,7512.857523572463,37
2020,SeasonB,Southern Province,Ruhango,Irish potatoes,0.13886168599128723,26912.870000000003,15876.736741314877,14
2020,SeasonB,Western Province,Karongi,Beans,0.024895409122109413,4048.28,11773.404607224133,17
2020,SeasonB,Western Province,Karongi,Cassava,0.03168169781565666,8232.8,8658.868625148272,30
2020,SeasonB,Western Province,Karongi,Irish potatoes,0.041486866772174835,3440.0,11007.121321950437,6
2020,SeasonB,Western Province,Ngororero,Beans,0.047461654990911484,4170.62,8637.809614622589,24
2020,SeasonB,Western Province,Ngororero,Cassava,0.032166488468647,3967.63,6142.322686584586,21
2020,SeasonB,Western Province,Ngororero,Irish potatoes,0.1266772598028183,3390.0,7332.723776289857,4
2020,SeasonB,Western Province,Nyabihu,Beans,0.13340458273887634,124779.0,13457.051574008772,63
2020,SeasonB,Western Province,Nyabihu,Cassava,0.04954110085964203,2495.37,5118.784322224533,13
2020,SeasonB,Western Province,Nyabihu,Irish potatoes,0.5048812627792358,250964.07,21374.173619979887,11
2020,SeasonB,Western Province,Nyamasheke,Beans,0.03534450754523277,4448.5599999999995,8956.446055495855,11
2020,SeasonB,Western Province,Nyamasheke,Cassava,0.03649480640888214,5699.4,6498.300766924933,27
2020,SeasonB,Western Province,Rubavu,Beans,0.10559463500976562,27743.6,12497.831043134005,28
2020,SeasonB,Western Province,Rubavu,Cassava,0.036977626383304596,270.0,7301.712586990307,1
2020,SeasonB,Western Province,Rubavu,Irish potatoes,0.10645070672035217,4610.08,6042.2494569584605,8
2020,SeasonB,Western Province,Rusizi,Beans,0.03105088137090206,3829.13,7642.367746375683,21
2020,SeasonB,Western Province,Rusizi,Cassava,0.026043176651000977,3450.55,7485.628561570562,17
2020,SeasonB,Western Province,Rusizi,Irish potatoes,0.0717790424823761,4328.07,12630.534446975016,5
2020,SeasonB,Western Province,Rutsiro,Beans,0.0444902703166008,6844.950000000001,7916.214044334239,20
2020,SeasonB,Western Province,Rutsiro,Cassava,0.02575557865202427,7871.12,6638.231062930495,47
2020,SeasonB,Western Province,Rutsiro,Irish potatoes,0.12687107920646667,880.0,4303.076301967097,3
2020,SeasonC,Eastern Province,Bugesera,Beans,0.0732349157333374,95118.0,9744.354079187937,136
2020,SeasonC,Eastern Province,Gatsibo,Beans,0.33269622921943665,194350.0,9381.901198913434,66
2020,SeasonC,Eastern Province,Kayonza,Beans,0.0820949375629425,44066.0,11763.356180356954,52
2020,SeasonC,Eastern Province,Kirehe,Beans,0.15788641571998596,106695.0,9625.647109673251,85
2020,SeasonC,Eastern Province,Ngoma,Beans,0.1962980329990387,186395.0,7612.9309622295405,141
2020,SeasonC,Eastern Province,Nyagatare,Beans,0.2031823694705963,208706.0,10075.83754772269,63
2020,SeasonC,Eastern Province,Rwamagana,Beans,0.12533687055110931,74269.0,7657.342419104573,81
