Year,ProvinceName,DistrictName,CropName,Total_Weighted_Consumption_Qty_Kg,Total_Weighted_Consumption_Value_Rwf,Num_Households_Observed
2017,Northern Province,Gicumbi,Maize,7459416.9587135315,14939.747079372406,48
2017,Northern Province,Gicumbi,Tomatoes,0.0,0.0,48
2017,Northern Province,Musanze,Beans,35129197.46131897,23495.041661262512,71
2017,Northern Province,Musanze,Cassava,45288579.373931885,42317.18179988861,71
2017,Northern Province,Musanze,Irish potatoes,4129483.1934452057,11013.723628044128,71
2017,Northern Province,Musanze,Maize,8560813.664531708,25653.00193452835,71
2017,Northern Province,Musanze,Tomatoes,0.0,0.0,71
2017,Northern Province,Rulindo,Beans,21209233.90932083,13103.961263656616,73
2017,Northern Province,Rulindo,Cassava,21835879.037065506,28001.969692230225,73
2017,Northern Province,Rulindo,Irish potatoes,528351.9086837769,3227.552008628845,73
2017,Northern Province,Rulindo,Maize,5298567.725419998,17170.26469707489,73
2017,Northern Province,Rulindo,Tomatoes,0.0,0.0,73
2017,Southern Province,Gisagara,Beans,25226478.944587708,12613.979320526123,49
2017,Southern Province,Gisagara,Cassava,35237323.69556427,29579.86407470703,49
2017,Southern Province,Gisagara,Irish potatoes,651416.8453216553,1543.486328125,49
2017,Southern Province,Gisagara,Maize,5286702.784919739,15643.541820526123,49
2017,Southern Province,Gisagara,Tomatoes,0.0,0.0,49
2017,Southern Province,Huye,Beans,9072884.275913239,4491.715007781982,24
2017,Southern Province,Huye,Cassava,8618368.253993988,10799.989361763,24
2017,Southern Province,Huye,Irish potatoes,159667.15621948242,745.113395690918,24
2017,Southern Province,Huye,Maize,1213720.004272461,4405.601863861084,24
2017,Southern Province,Huye,Tomatoes,0.0,0.0,24
2017,Southern Province,Kamonyi,Beans,5494361.798286438,8228.506949424744,12
2017,Southern Province,Kamonyi,Cassava,10108998.72226715,7033.518928527832,12
2017,Southern Province,Kamonyi,Irish potatoes,0.0,0.0,12
2017,Southern Province,Kamonyi,Maize,2104327.664756775,4351.198602676392,12
2017,Southern Province,Kamonyi,Tomatoes,0.0,0.0,12
2017,Southern Province,Muhanga,Beans,20201060.964393616,8175.661222457886,39
2017,Southern Province,Muhanga,Cassava,24427085.054035187,24448.985403060913,39
2017,Southern Province,Muhanga,Irish potatoes,794304.4410705566,3012.12544631958,39
2017,Southern Province,Muhanga,Maize,4703469.025382996,11728.010555267334,39
2017,Southern Province,Muhanga,Tomatoes,0.0,0.0,39
2017,Southern Province,Nyamagabe,Beans,9777082.577896118,4407.650394439697,36
2017,Southern Province,Nyamagabe,Cassava,7297538.576507568,14114.025505065918,36
2017,Southern Province,Nyamagabe,Irish potatoes,128068.78280639648,597.6543197631836,36
2017,Southern Province,Nyamagabe,Maize,3798224.5460510254,11590.771591186523,36
2017,Southern Province,Nyamagabe,Tomatoes,0.0,0.0,36
2017,Southern Province,Nyanza,Beans,2562738.1256103516,1042.2619171142578,14
2017,Southern Province,Nyanza,Cassava,8693709.796524048,5468.541313171387,14
2017,Southern Province,Nyanza,Irish potatoes,0.0,0.0,14
2017,Southern Province,Nyanza,Maize,2355665.261077881,3192.2479400634766,14
2017,Southern Province,Nyanza,Tomatoes,0.0,0.0,14
2017,Southern Province,Nyaruguru,Beans,21511021.251678467,9027.058336257935,46
2017,Southern Province,Nyaruguru,Cassava,25682543.968629837,22214.297308921814,46
2017,Southern Province,Nyaruguru,Irish potatoes,9285.906314849854,43.334229469299316,46
2017,Southern Province,Nyaruguru,Maize,4235330.616760254,11773.852787017822,46
2017,Southern Province,Nyaruguru,Tomatoes,0.0,0.0,46
2017,Southern Province,Ruhango,Beans,18355274.95112419,6324.654886722565,40
2017,Southern Province,Ruhango,Cassava,31773299.05152321,24943.301637649536,40
2017,Southern Province,Ruhango,Irish potatoes,603590.1750564575,1731.5092463493347,40
2017,Southern Province,Ruhango,Maize,4270583.372068405,9912.492914676666,40
2017,Southern Province,Ruhango,Tomatoes,0.0,0.0,40
2017,Western Province,Karongi,Beans,12292071.955871582,4071.00581741333,30
2017,Western Province,Karongi,Cassava,16417796.367645264,13437.881534576416,30
2017,Western Province,Karongi,Irish potatoes,1022936.8232727051,3191.9427490234375,30
2017,Western Province,Karongi,Maize,2092423.1006622314,4994.848159790039,30
2017,Western Province,Karongi,Tomatoes,0.0,0.0,30
2017,Western Province,Ngororero,Beans,12625681.114196777,3916.6268978118896,20
2017,Western Province,Ngororero,Cassava,11495054.464530945,7649.423722267151,20
2017,Western Province,Ngororero,Irish potatoes,899028.0666351318,1825.6346521377563,20
2017,Western Province,Ngororero,Maize,4076512.891483307,8523.837119102478,20
2017,Western Province,Ngororero,Tomatoes,0.0,0.0,20
2017,Western Province,Nyabihu,Beans,26636521.002197266,9678.998901367188,21
2017,Western Province,Nyabihu,Cassava,18128913.805103302,11409.2915725708,21
2017,Western Province,Nyabihu,Irish potatoes,2217533.0081939697,2809.0167350769043,21
2017,Western Province,Nyabihu,Maize,3134847.633743286,6154.460849761963,21
2017,Western Province,Nyabihu,Tomatoes,0.0,0.0,21
2017,Western Province,Nyamasheke,Beans,23322738.58318329,10335.981749534607,36
2017,Western Province,Nyamasheke,Cassava,20864201.245594025,15982.373514175415,36
2017,Western Province,Nyamasheke,Irish potatoes,1467557.4188232422,2754.462936401367,36
2017,Western Province,Nyamasheke,Maize,6917188.654136658,16794.597551345825,36
2017,Western Province,Nyamasheke,Tomatoes,0.0,0.0,36
2017,Western Province,Rubavu,Beans,30881466.249465942,14184.645320892334,30
2017,Western Province,Rubavu,Cassava,23322063.62876892,21692.16941833496,30
2017,Western Province,Rubavu,Irish potatoes,1629639.5778656006,4907.5614376068115,30
2017,Western Province,Rubavu,Maize,5816155.753898621,12270.328002929688,30
2017,Western Province,Rubavu,Tomatoes,0.0,0.0,30
2017,Western Province,Rusizi,Beans,10703606.503582,4528.139877319336,22
2017,Western Province,Rusizi,Cassava,5487415.723419189,6874.334892272949,22
2017,Western Province,Rusizi,Irish potatoes,26117.40493774414,182.82183456420898,22
2017,Western Province,Rusizi,Maize,1912978.0305862427,4885.333847045898,22
2017,Western Province,Rusizi,Tomatoes,0.0,0.0,22
2017,Western Province,Rutsiro,Beans,31862008.011627197,17667.05940437317,81
2017,Western Province,Rutsiro,Cassava,30014749.624967575,39006.71772813797,81
2017,Western Province,Rutsiro,Irish potatoes,1761914.050579071,3690.512364387512,81
2017,Western Province,Rutsiro,Maize,8400855.06181717,23687.45613861084,81
2017,Western Province,Rutsiro,Tomatoes,0.0,0.0,81
2020,Eastern Province,Bugesera,Beans,266979.4695077842,167843429.27049956,486
2020,Eastern Province,Bugesera,Cassava,356315.34637172107,178074205.9752511,486
2020,Eastern Province,Bugesera,Irish potatoes,368492.48966698104,166234017.49138173,486
2020,Eastern Province,Bugesera,Maize,260847.52034374178,145489640.20973867,486
2020,Eastern Province,Bugesera,Tomatoes,146135.00809301462,86852332.9003612,486
2020,Eastern Province,Gatsibo,Beans,542933.7956140598,277168748.68032795,486
2020,Eastern Province,Gatsibo,Cassava,299914.45070800645,128538506.34880996,486
2020,Eastern Province,Gatsibo,Irish potatoes,418986.74980138615,137423090.90693486,486
2020,Eastern Province,Gatsibo,Maize,602832.338947675,281544927.1135042,486
2020,Eastern Province,Gatsibo,Tomatoes,151456.00249717542,62017292.25274307,486
2020,Eastern Province,Kayonza,Beans,436006.481148095,261057439.11372322,486
2020,Eastern Province,Kayonza,Cassava,388111.1704919167,139168383.24313986,486
2020,Eastern Province,Kayonza,Irish potatoes,464870.7737797509,187202488.8395779,486
2020,Eastern Province,Kayonza,Maize,501434.3541615066,218072973.97115615,486
